Sector,Label,Address,Activities/Services,Phone Number,Creation Year,City,Website,Entreprise Type,Email
Industrie,AErM DISTRIBUTION,"Z.I des Eucalyptus,  , ALGER, 16000, Algeria.",Importation et distribution de PDR poids lourds et remorques.,+213550416703,2010,alger,http://www.am-company.com,SARL,info@am-company.com
Industrie,AD MOTORS,"N°32, Zone industrielle  , Alger , 16000, Algeria.",équipements de chauffage,+21321526293,2010,alger,admotors-dz.com,SARL,y.hammoutene@admotors-dz.com
Industrie,AFRIQUE ENGINS SARL,"Coopérative Camps li N°  , Alger, 16000, Algeria.",Importation et distribution de pièces de rechange pour engins.,+21323707272,2010,alger,,SARL,africengines@yahoo.fr
Industrie,ARIBI IMPORT EURL,"Local N°2 Ouled Addi  , MÔÇÖsila, 28014, Algeria.",équipements et accessoires pour véhicules • Organes et accessoires de direction de suspension et de freinage • Pneumatiques et accessoires.,+21335598327,2010,alger,hotmail.com,SARL,eurlaribi@hotmail.com
Industrie,AUTO PARTS EURL,"Cité Douzi 04 n°09, Bab ezouar,  Alger, 16000, Algeria.",Matériel informatique.,+213550543083,2010,alger,,SARL,hamia.nacer@gmail.com
Industrie,BATTERIES ASSAD ALGÉRIE SPA,"Z.I Sidi Moussa, 16061  , alger, 16000, Algeria.",Fabrication et commercialisation des batteries de démarrage.,+21321760355,2010,alger,http://www.assadalgerie.com,SARL,infos@assadalgerie.com
Industrie,BOURSE ALGERIENNE DE SOUS-TRAITANCE ET DE PARTENARIAT,"Cité Sider, Le Paradou,  , Alger, 16000, Algeria.",Association . Organisme.,+21323534227,2010,alger,,SARL,bastpcentre@gmail.com
Industrie,CAPELEC ALGÉRIE,"Ain Naadja Sud II Gpe 17, , Alger, 16000, Algeria.",équipements pour le contrôle technique.,+21323450874,2010,alger,http://www.capelec.fr,SARL,extl@capelec.fr
Industrie,CARBON AUTO ALGÉRIE,"Cité Makoudi 02 villa n°7 , Alger, 16130, Algeria.","Vente de stations de concassage, centrales ├á béton, filtres ├á manche COMACO, portes engins, piéces de rechanges engins TP et grues et maintenance.",+21321512013,2010,alger,,SARL,carbonautoalgerie@hotmail.com
Industrie,CAROSSAUTO EURL,"Cité sonelgaz N°24 Gué de , Alger, 16000, Algeria.",Promotion immobilier.,+21321838711,2010,alger,,SARL,carrossautol6@gmail.com
